AuditEventId,StoreId,EventDate,EventTypeId,Successful,UserId,RelatedId,RemoteIP,Comment
1,1,2011-07-13 09:00:33,5000,0,0,0,::1,Invalid username: eric
2,1,2011-07-13 09:00:46,5000,0,0,0,::1,Invalid username: eric
3,1,2011-07-13 10:44:34,5000,0,0,0,::1,No password set for user.
4,1,2011-07-13 10:45:02,5000,0,0,0,::1,No password set for user.
5,1,2011-07-13 10:46:50,5000,0,0,0,::1,No password set for user.
6,1,2011-07-13 10:56:44,5000,0,0,0,::1,No password set for user.
7,1,2011-07-13 11:14:13,5000,0,0,0,::1,No password set for user.
8,1,2011-07-13 11:14:29,5000,0,0,0,::1,No password set for user.
9,1,2011-07-13 11:19:57,5000,0,0,0,::1,No password set for user.
10,1,2011-07-13 11:24:13,5000,1,0,0,::1,
11,1,2011-07-13 13:09:02,5000,1,0,0,::1,
12,1,2011-07-13 13:11:19,5000,1,0,0,::1,
13,1,2011-07-13 13:12:46,5000,1,0,0,::1,
14,1,2011-07-13 13:18:57,5000,1,0,0,::1,
32,1,2011-07-19 16:44:13,5000,1,0,0,::1,
33,1,2011-07-26 09:44:49,5000,1,0,0,::1,
34,1,2011-07-26 10:29:54,5000,1,0,0,::1,
35,1,2011-07-26 10:39:01,5000,1,0,0,::1,
36,1,2011-07-26 11:49:50,5000,1,0,0,::1,
37,1,2011-07-26 11:54:48,5000,1,0,0,::1,
38,1,2011-07-26 12:20:49,5000,1,0,0,::1,
40,1,2011-07-26 12:38:01,5000,1,0,0,::1,
41,1,2011-07-26 12:39:57,5000,1,0,0,::1,
43,1,2011-08-30 14:46:45,5000,0,1,0,::1,No password set for user.
44,1,2011-08-30 14:46:51,5000,0,1,0,::1,No password set for user.
45,1,2011-08-30 14:46:58,5000,0,1,0,::1,No password set for user.
46,1,2011-08-30 14:49:38,5000,1,1,0,::1,
15,1,2011-07-13 14:45:52,5000,1,0,0,::1,
18,1,2011-07-14 13:46:05,5000,1,0,0,::1,
23,1,2011-07-14 14:50:37,5000,1,0,0,::1,
24,1,2011-07-15 11:57:29,5000,1,0,0,::1,
28,1,2011-07-18 15:04:19,6000,1,0,0,::1,
29,1,2011-07-18 15:04:50,5000,1,0,0,::1,
16,1,2011-07-13 15:31:22,10000,1,0,0,::1,
19,1,2011-07-14 14:15:55,5000,1,0,0,::1,
30,1,2011-07-18 15:06:01,2000,1,0,0,::1,Part 1
31,1,2011-07-18 15:06:05,2000,1,0,0,::1,Part 2
17,1,2011-07-14 13:42:16,5000,1,0,0,::1,
20,1,2011-07-14 14:23:56,5000,1,0,0,::1,
21,1,2011-07-14 14:25:54,6000,1,0,0,::1,
22,1,2011-07-14 14:26:07,5000,1,0,0,::1,
25,1,2011-07-18 14:41:52,5000,0,0,0,::1,Invalid username: Demo
26,1,2011-07-18 14:42:10,5000,1,0,0,::1,
27,1,2011-07-18 15:00:39,5000,1,0,0,::1,
47,1,2011-08-30 17:19:28,5000,1,1,0,::1,
39,1,2011-07-26 12:22:40,5000,1,0,0,::1,
42,1,2011-07-27 09:40:23,5000,1,0,0,::1,
